Film	Species	Characters	words_spoken
The Fellowship Of The Ring	Orc	3	27
The Fellowship Of The Ring	Dwarf	11	431
The Fellowship Of The Ring	Elf	31	2200
The Fellowship Of The Ring	Wizard	29	2881
The Fellowship Of The Ring	Man	40	1995
The Fellowship Of The Ring	Hobbit	103	3658
The Return Of The King	Orc	16	466
The Return Of The King	Dwarf	16	313
The Return Of The King	Elf	19	693
The Return Of The King	Wizard	25	1807
The Return Of The King	Man	98	2727
The Return Of The King	Hobbit	73	2675
The Two Towers	Orc	10	230
The Two Towers	Dwarf	19	521
The Two Towers	Elf	19	844
The Two Towers	Wizard	12	1273
The Two Towers	Man	102	3990
The Two Towers	Hobbit	56	2463
